alacritty 0.12.0-1
alsa-utils 1.2.8-1
arandr 0.1.11-1
archlinux-keyring 20230320-1
archlinux-tweak-tool-git r976.2c1ea6e-1
atkmm-2.36 2.36.2-1
audacity 1:3.3.1-2
autoconf 2.71-4
automake 1.16.5-2
baobab 44.0-1
base 3-1
base-devel 1-1
bash-language-server 4.9.1-1
betterlockscreen-git v4.0.4.r0.ge6c5530-3
binutils 2.40-4
bison 3.8.2-5
blueman 2.3.5-1
bonsai.sh-git r91.5e6e6aa-1
boost 1.81.0-3
bottom 0.8.0-1
brave-bin 1:1.50.125-1
breeze 5.27.4-1
brightnessctl 0.5.1-2
btop 1.2.13-1
calc 2.14.1.5-1
cava 0.8.3-1
ccls 0.20220729-3
cheese 43.0-1
clang-format-all-git r8.4d6ee56-1
clock-tui 0.5.0-2
cmake 3.26.3-1
cmake-language-server 0.1.7-1
cmatrix 2.0-2
code 1.77.3-2
cowsay 3.04-2
cpu-x 4.5.3-1
cronie 1.6.1-1
cuda 12.1.1-1
dbus 1.14.6-2
ddrescue 1.27-1
ddrescue-gui 2.1.1-4
decklink 12.4.1-2
decklink-sdk 1:12.4.2-1
discord 0.0.27-1
dmenu 5.2-1
dotnet-runtime-6.0-bin 6.0.16.sdk408-1
drawio-desktop-bin 21.2.1-1
dunst 1.9.2-1
efibootmgr 18-2
efm-langserver 0.0.44-1
electron 22.3.3-1
emacs-nox 28.2-2
eog 44.1-1
etcher-bin 1.18.4-1
evince 43.1-2
exa 0.10.1-7
fakeroot 1.31-2
feh 3.10-1
file 5.44-3
file-roller 43.0-1
findutils 4.9.0-3
firefox 112.0.2-2
fish 3.6.1-1
flameshot 12.1.0-1
flatpak 1:1.15.4-1
flex 2.6.4-5
ftba 202304121437_91bb027b9e-1
fuse2 2.9.9-4
fv 5.5.2-1
gawk 5.2.1-2
gcc 12.2.1-2
gcc-fortran 12.2.1-2
gdm 44.0-1
gedit 44.2-1
gettext 0.21.1-5
gimp 2.10.34-1
git 2.40.1-1
github-cli-git 2.20.2.r6.g14fd15da-1
gnome-backgrounds 43.1-1
gnome-browser-connector 42.1-3
gnome-calculator 43.0.1-1
gnome-calendar 43.1-2
gnome-characters 43.1-1
gnome-clocks 43.0-1
gnome-color-manager 3.36.0+r42+g90481514-1
gnome-contacts 43.1-1
gnome-control-center 43.4.1-3
gnome-font-viewer 43.0-1
gnome-logs 43.0-1
gnome-maps 43.4-1
gnome-menus 3.36.0-2
gnome-music 1:42.1-1
gnome-photos 1:44.0-1
gnome-power-manager 43.0-1
gnome-remote-desktop 43.3-1
gnome-shell-extensions 43.1-1
